News Outlet,Date,Compound,Positive,Neutral,Negative,Tweet Count,Tweet Text
@BBCNews,Thu Aug 02 17:07:34 +0000 2018,0.0,0.0,1.0,0.0,87,RT @BBCScotlandNews: Concerns over post-Brexit protections for Scotch whisky https://t.co/NXa8qUbbCo https://t.co/0dSl9DcwSd
@BBCNews,Thu Aug 02 17:07:29 +0000 2018,0.0,0.0,1.0,0.0,88,"Just one of the 16 daily sunrises seen from the International Space Station 😍

https://t.co/PjAfprmI0J https://t.co/2Ite42ihqB"
@BBCNews,Thu Aug 02 16:59:15 +0000 2018,-0.2732,0.191,0.534,0.275,89,"Dale Winton died of natural causes, coroner says https://t.co/UPNkhNpVz0"
@BBCNews,Thu Aug 02 16:31:43 +0000 2018,0.6808,0.359,0.641,0.0,90,"RT @BBCWalesNews: Cycling fans make sure you're free next Thursday.......#gerainthomashomecoming 🚴🏆🏴󠁧󠁢󠁷󠁬󠁳󠁿
https://t.co/umJgH9Zkrf"
@BBCNews,Thu Aug 02 16:30:53 +0000 2018,-0.1027,0.149,0.726,0.125,91,"RT @davidshukmanbbc: Surprising discovery that plastic pollution is a source of warming gases, and it's worse the more the plastic breaks d…"
@BBCNews,Thu Aug 02 16:02:04 +0000 2018,0.2263,0.192,0.808,0.0,92,Apple is first public company worth $1 trillion https://t.co/h1i15iJRce
@BBCNews,Thu Aug 02 15:48:42 +0000 2018,0.2023,0.153,0.847,0.0,93,Deepmind co-founder Shane Legg gives London teen top AI tips https://t.co/ZhvPLDuN9i
@BBCNews,Thu Aug 02 15:41:00 +0000 2018,0.0,0.0,1.0,0.0,94,Princesses Beatrice and Eugenie on careers and 'being the first' https://t.co/M8xK4elqtD
@BBCNews,Thu Aug 02 15:11:43 +0000 2018,-0.34,0.167,0.538,0.296,95,"How to lose friends and irritate people - mobile phone edition 😠📱 

https://t.co/JmgDH3kTQB https://t.co/GiGWa7dzi5"
@BBCNews,Thu Aug 02 14:32:38 +0000 2018,0.4019,0.252,0.748,0.0,96,Government U-turn a boost for sign language GCSE campaign https://t.co/0i89dq6ybd
@BBCNews,Thu Aug 02 14:04:00 +0000 2018,0.0,0.0,1.0,0.0,97,Football transfer news: How announcements got extravagant https://t.co/4ajS3Ed2li
@BBCNews,Thu Aug 02 13:58:16 +0000 2018,-0.7579,0.0,0.552,0.448,98,Cat stolen from Russian museum found after social outcry https://t.co/Z3emVanij2
@BBCNews,Thu Aug 02 13:52:32 +0000 2018,-0.5267,0.0,0.638,0.362,99,What is the '#QAnon' conspiracy theory? https://t.co/2sfySbk91s
@BBCNews,Thu Aug 02 13:45:24 +0000 2018,-0.0762,0.209,0.555,0.236,100,Phone etiquette: How not to lose friends https://t.co/PXCIX3B8Wo
@CBS,Tue Jul 31 21:02:33 +0000 2018,0.9098,0.469,0.531,0.0,1,Celebrate #NationalAvocadoDay with @letsmakeadeal. 🥑 Relive this #LMAD moment when an avocado wins one amazing deal! https://t.co/QS8GLajWU5
@CBS,Sat Jul 28 16:43:56 +0000 2018,0.34,0.124,0.876,0.0,2,"Housewives. PTA moms. School volunteers. Starting TONIGHT, hear the stories of seemingly innocent women who put it… https://t.co/5TA15OiTuh"
@CBS,Wed Jul 25 17:25:36 +0000 2018,0.5707,0.187,0.813,0.0,3,"This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 🎉
 https://t.co/lncKu9XvNo"
@CBS,Wed Jul 25 15:12:31 +0000 2018,0.0,0.0,1.0,0.0,4,"Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… https://t.co/PEjjI9MKE1"
@CBS,Wed Jul 25 01:05:03 +0000 2018,0.34,0.118,0.882,0.0,5,Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… https://t.co/1B5S4WJnCW
@CBS,Tue Jul 24 18:54:14 +0000 2018,-0.1511,0.068,0.834,0.099,6,"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN"
@CBS,Mon Jul 23 21:30:33 +0000 2018,0.8293,0.34,0.66,0.0,7,The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… https://t.co/fOS4f4VCb2
@CBS,Sun Jul 22 01:56:13 +0000 2018,0.128,0.073,0.927,0.0,8,RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: https…
@CBS,Sat Jul 21 00:55:28 +0000 2018,-0.296,0.0,0.891,0.109,9,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…
@CBS,Sat Jul 21 00:19:12 +0000 2018,-0.296,0.0,0.891,0.109,10,RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…
@CBS,Sat Jul 21 00:10:00 +0000 2018,-0.7964,0.0,0.736,0.264,11,"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX"
@CBS,Fri Jul 20 23:44:54 +0000 2018,-0.6597,0.0,0.82,0.18,12,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy
@CBS,Fri Jul 20 22:29:36 +0000 2018,0.3182,0.095,0.905,0.0,13,"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…"
@CBS,Fri Jul 20 21:39:09 +0000 2018,0.0,0.0,1.0,0.0,14,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT
@CBS,Fri Jul 20 15:08:23 +0000 2018,0.0,0.0,1.0,0.0,15,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr"
@CBS,Tue Jul 17 17:55:25 +0000 2018,0.0,0.0,1.0,0.0,16,🤰👩‍👧🚫🍸 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,17,👨📝✔️ #WorldEmojiDay
@CBS,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,18,👩‍💼💼🇺🇸 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,19,🕵️🕵️‍♀️ #WorldEmojiDay
@CBS,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,20,⚓️🦅🇺🇸 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,21,🏄🌴🚔 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,22,💙👮🍽 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,23,💣📎 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,24,🌎☄️ #WorldEmojiDay
@CBS,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,25,🏷💰🎰 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,26,👶😴🚫 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,27,🤝💼💰 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,28,💄👠📷 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,29,🏝🔥💵 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,30,🐮⚖️ #WorldEmojiDay
@CBS,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,31,🏠📹📹📹 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,32,👶💥🌎🔬 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:26 +0000 2018,0.0,0.0,1.0,0.0,33,💥🌎🔬 #WorldEmojiDay
@CBS,Tue Jul 17 17:22:26 +0000 2018,0.807,0.3,0.7,0.0,34,Celebrate #WorldEmojiDay with a fun game! Use the emoji sequences below to guess the CBS show. 👇 Tweet your respons… https://t.co/LCqvuVtkXK
@CBS,Fri Jul 13 21:35:01 +0000 2018,0.1139,0.078,0.922,0.0,35,"Stand up. Speak up. Blow the whistle. 

Don't miss the premiere of the @TrueCrimeCBS series #Whistleblower tonight… https://t.co/uNhx4Codc2"
@CBS,Fri Jul 13 21:15:41 +0000 2018,-0.4404,0.0,0.868,0.132,36,"RT @TheNeighborhood: There's a new family on the block, and they're about to turn this neighborhood upside down. @CedEntertainer and @Tichi…"
@CBS,Fri Jul 13 17:49:38 +0000 2018,0.0,0.0,1.0,0.0,37,Take a walk down @YandR_CBS memory lane with stars @JessWaltonYR and Peter Bergman! You can watch full episodes of… https://t.co/MZEUfiJJyb
@CBS,Thu Jul 12 01:01:24 +0000 2018,0.6514,0.282,0.718,0.0,38,RT @TKOCBS: Prepare to have some major FUN. #TKO starts NOW! https://t.co/i2ftL6GCj5
@CBS,Wed Jul 11 21:44:45 +0000 2018,0.5562,0.174,0.826,0.0,39,"It’s fun, different, unique, and finally here! @TKOCBS hosted by @KevinHart4real premieres at 9/8c on CBS and… https://t.co/MCeVLVK85i"
@CBS,Wed Jul 11 19:09:34 +0000 2018,0.5411,0.143,0.857,0.0,40,"RT @MagnumPICBS: Talk about hands-on research! #MagnumPI's cast had the honor of joining the US Navy Submarine Force, US Pacific Fleet #Sub…"
@CBS,Mon Jul 09 23:55:07 +0000 2018,0.0,0.0,1.0,0.0,41,Time to mark your calendars! CBS' fall 2018 premiere lineup has been announced: https://t.co/yYv3H9aEO7 https://t.co/lRxAA7suie
@CBS,Mon Jul 09 18:53:34 +0000 2018,-0.3818,0.0,0.894,0.106,42,"RT @TKOCBS: The Ball Buster, the Frisboom, the Spike Launcher, and the Slammer… Get to know all of the #TKO Battle Stations: https://t.co/2…"
@CBS,Mon Jul 09 18:09:00 +0000 2018,0.3182,0.103,0.897,0.0,43,"RT @cbsallaccess: How much does it cost to bury the truth? #OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/2HdY…"
@CBS,Fri Jul 06 22:22:55 +0000 2018,0.4019,0.153,0.847,0.0,44,"RT @SalvationCBS: Mark your calendars, #Salvies: Monday's new #SalvationCBS will air at a special time, 10/9c. https://t.co/RUh1J7cfj8"
@CBS,Fri Jul 06 18:26:37 +0000 2018,0.7777,0.343,0.657,0.0,45,Happy #InternationalKissingDay! See which stars we caught locking lips on the CBS Kiss Cam. 😘 https://t.co/oMPCHZlgCl
